image name,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,accessionNumber,plantDescription
V0057262F.jpg,N/A,M. E. Jones,N/A,22840,N/A,16 Feb 1927,N/A,N/A,Lepidium virginicum var. tepicense C. L. Hitchc.,N/A,N/A,N/A,Mexico,Nayarit,N/A,N/A,Tepic,Tepic,N/A,N/A,N/A,701318,N/A,Isotype,N/A,N/A
V0469088F.jpg,N/A,Djaja D. Soejarto,T. E. Lockwood,2466,N/A,30 Mar 1970,N/A,N/A,Piper cf. arboreum Aubl.,N/A,N/A,N/A,Colombia,Vaupés,N/A,N/A,Vicinity of Mitu,Vicinity of Mitu,Tropical rain forest cut,200 m,N/A,1821019,N/A,N/A,N/A,"Treelet, 3 m tall, inflorescences white to green, plant odorous"
V0558575F.jpg,N/A,Felix Woytkowski,"Diego Tuesta Diaz, Jorge Woytkowski",34438,N/A,26 Aug 1946,N/A,N/A,Peperomia serpens (Sw.) Loudon,N/A,N/A,N/A,Peru,Loreto,N/A,N/A,Aguaitia,Aguaitia,Upon rocks and old tree trunks,170-180 m,N/A,1307659,N/A,N/A,N/A,"Perennial herb 0.35 m. Flowers green. Leaves soft, fleshy"
V0571031F.jpg,N/A,Debeaux,N/A,N/A,N/A,10 May 1880,N/A,N/A,Frankenia corymbosa Desf.,N/A,N/A,N/A,Algeria,N/A,N/A,N/A,Arzew: a l'embouchure de l'oued,Arzew: a l'embouchure de l'oued,a l'embouchure de l'oued,N/A,N/A,835959,N/A,N/A,N/A,N/A
V0613170F.jpg,N/A,M. A. Lewis,N/A,37731,N/A,22 Sep 1990,N/A,N/A,Stachytarpheta pohliana Cham.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2304360,N/A,N/A,N/A,N/A
V0613171F.jpg,N/A,O. L. Lovelius,N/A,N/A,N/A,13 Jun 1968,N/A,N/A,Turgenia latifolia (L.) Hoffm.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1779118,N/A,N/A,N/A,N/A
V0613172F.jpg,N/A,G. R. Proctor,N/A,35707,N/A,14 Apr 1976,N/A,N/A,Ilex guianensis (Aubl.) Kuntze,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1782286,N/A,N/A,N/A,N/A
V0613173F.jpg,N/A,E. L. Ekman,N/A,11287,N/A,22 Jan 1929,N/A,N/A,Ilex berteroi Loes.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1480853,N/A,N/A,N/A,N/A
V0613174F.jpg,N/A,de Heldreich,N/A,455,N/A,29 May 1893,N/A,N/A,Frankenia hispida DC.,N/A,N/A,N/A,Greece,N/A,N/A,N/A,N/A,N/A,in arenosis maritimis,N/A,N/A,842306,N/A,N/A,N/A,N/A
V0613176F.jpg,N/A,D. D. Soejarto,"S. Bouamanivong, M. Sensanang, S. Vorasing",11377,N/A,22 Apr 2000,N/A,N/A,Lagerstroemia ovalifolia Teijsm. & Binn.,N/A,N/A,N/A,Laos,Bolikhamsay,Khamheut,N/A,"Ban Namphao, ca. 5 km east of town proper","Ban Namphao, ca. 5 km east of town proper","Tropical rain forest; a mosaic of cleared lands, previously logged forest with an open canopy, and little disturbed closed canopy forest with Liquidambar, Camellia, and Lagerstroemia association ",500 m,"18 10 N, 05 00 E",2224146,N/A,N/A,N/A,"Tree 7 m tall, dbh 10 cm, bark gray, slash dull purplish white, wood pale brown, flowers deep pink to violet, stames deep yellow, filaments pink-red, fruits dull reddish brown"
V0362457F.jpg,N/A,Tonduz,N/A,2731,N/A,Jun 1890,N/A,N/A,Lonchocarpus orotinus,N/A,N/A,N/A,Costa Rica,N/A,N/A,N/A,N/A,La baie de Salinas,Zone littorale,N/A,N/A,576895,N/A,N/A,N/A,N/A
V0574012F.jpg,N/A,Antonio Molina R. ,Albertina R. Molina,25236,N/A,8 Dec 1969,N/A,N/A,Commelina robusta,N/A,N/A,N/A,Guatemala,Chiquimula,N/A,N/A,N/A,N/A,Dry slopes,900 m,N/A,1695826,N/A,N/A,N/A,N/A
