image name,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,accessionNumber,plantDescription
C2051895F.jpg,Bescherelle La Perraudière,E. Bescherelle,H. R. L. T. Perraudière,s.n.,12 Avril,N/A,N/A,Barbula membranifolia,Crossidium squamigerum,W. C. Steere,N/A,N/A,France,N/A,N/A,N/A,Burre? près Angers,,N/A,N/A,N/A,N/A,Mix of Handwritten and Typed,N/A,973420,N/A
C2026385F.jpg,Fitz-Gerald,C. Fitzgerald,N/A,s.n.,C-78,1878-00-00,N/A,Pottia latifolia C. Müll,Pottia latifolia,N/A,N/A,N/A,France,N/A,N/A,N/A,Pic du Midi Mts. Pyr.,"Pyrénées, Pic du Midi",N/A,2800 m,N/A,N/A,Handwritten,N/A,N/A,N/A
C2036209F.jpg,R. Ochyra,R. Ochyra,N/A,1578/80,11/II/1980,1980-02-11,N/A,Tortula fuscoviridis Card.,Tortula fuscoviridis,R. Ochyra,N/A,N/A,N/A?claimed by England/Argentina/Chile,N/A,N/A,N/A,"ANTARCTICA, SOUTH SHETLAND ISLANDS - KING GEORGE ISLAND: Admiralty Bay, Ezcurra Inlet, Dufavel Island: SOPOT PEAK, at NW foot of the mount","Antarctica, South Shetland Islands, King George Island, Admiralty Bay, Ezcurra Inlet, Dufavel Island, Sopot Peak, at NW foot of the mount","Soil over rock ledges, in dry situation",4 m,"62° 09' 45"" S, 58° 33' 45"" W",N/A,Typed,N/A,1053922,N/A
C2078136F.jpg,Paul C. Standley,P. C. Standley,N/A,10896,"July 5, 1947",1947-07-05,N/A,Mittenothammium diminutivum (Hpe.) E.G Britt.,Mittenothammium diminutivum,E. B. Bartram,N/A,sterile Entodon,Nicaragua,Jinotega,N/A,N/A,"Dept. Jinotega: Vicinity of Finca San Roque, sierra east of Jinotega","Vicinity of Finca San Roque, sierra east of Jinotega",Dense wet mixed forest,1300-1500 m,N/A,N/A,Mix of Handwritten and Typed,N/A,N/A,N/A
C2047133F.jpg,I. Hagen,I. Hagen,N/A,s.n.,20/7 1903,1903-07-20,N/A,Amblystegium curvicaule (Jur.),Cratoneuron filicinum var. curvicaule,N/A,N/A,N/A,Norway,Søndre Trondhjems,N/A,N/A,"Søndre Trondhjems amt, Opdal Kongsvold","Opddal, Kongsvold",N/A,ca. 900,N/A,N/A,Mix of Handwritten and Typed,N/A,N/A,N/A
C2047118F.jpg,Åke Hovgard,A. Hovgard,N/A,209,6.V.1937,1937-05-06,N/A,Cratoneuron filicinum (L.) Loeske v. elatum Schimp.,Cratoneuron filicinum var. elatum,N/A,N/A,N/A,Sweden,Skåne,Skåne,N/A,"Skåne: Gladsax parish, Baskemölla","Gladsax Parish, Baskemölla",N/A,N/A,N/A,N/A,Typed,N/A,N/A,N/A
C2037874F.jpg,J. Krupa,J. Krupa,N/A,s.n.,June 1876,1876-06-00,N/A,Cratoneuron filicinum (Hedw.) Spruce,Cratoneuron filicinum,N/A,N/A,N/A,Poland,N/A,N/A,N/A,"S POLAND, Kraków-Częstochowa Upland: Czerna 15 km west of Kraków","Kraków-Częstochowa Upland, Czerna, 15 km west of Kraków",Wet calcareous rocks,,N/A,N/A,Typed,N/A,1071170,N/A
C1048926F.jpg,W. J. Eyerdam,W. J. Eyerdam,N/A,7,July 26/40,1940-07-26,N/A,Pellia endiviaefolia (Dicks) Drum.,Pellia endiviifolia,L. Clark,N/A,N/A,United States,Alaska,N/A,Ketchikan,"Ketchikan, Revillagigedo island",Revillagigedo Island,Damp sandy ground in a shady thicket,N/A,N/A,N/A,Mix of Handwritten and Typed,N/A,N/A,N/A
C0079851F_lg.jpg,Walter Kiener,W. Kiener,N/A,9148,"Sep. 15, 1989",1989-09-15,N/A,Distichum capillaceum (Sw.) Bry. Eur.,Distichum capillaceum,N/A,N/A,N/A,United States,Colorado,Larimer,N/A,Rocky Mountain National Park LONGS PEAK. Larimer Co.,"Rocky Mountain National Park, Longs Peak","Wet ground, north exposure","11,800 ft.",40° N,N/A,Typed,N/A,N/A,N/A
C0071775F_lg.jpg,Donald Richards and Francis Drouet,D. Richards,F. Drouet,1272,15 September 1941,1941-09-15,N/A,Ceratodon purpureus (Hedw.) Brid.,Ceratodon purpureus,Habeeb,1948,N/A,United States,California,Siskiyou,Dunsmuir,"Sacramento river, Dunsmuir",Sacramento River,Wooded canyon,"ca. 2,200 feet",N/A,N/A,Mix of Handwritten and Typed,N/A,N/A,N/A
C0079440F_lg.jpg,Chester & Philard,Chester,Philard,s.n.,s.d.,N/A,N/A,"Dicranum heteromallum var, Hw",Dicranum heteromallum,N/A,N/A,N/A,United States?,California?,,,"Cambria, Siviana?",Siviana?,N/A,N/A,N/A,N/A,Handwritten,N/A,N/A,N/A
