image name,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,accessionNumber,plantDescription
C0363985F.jpg,Carvalho,Carvalho,N/A,2092,25-VII-1986,1986-07-25,N/A,Lycopodiella cernua (L) Pic-Serm,Lycopodiella cernua,J Fernández Casas,1991,N/A,Equatorial Guinea,N/A,N/A,Malabo,"BIOCO: Malabo Basilé, km 13, cerca de Basilé, 32NMK7808","km 13, cerca de Basilé",márgenes de la carretera Forma pequeñas colonias dispersas,390 m,32NMK7808,No 2201362,Typed,no type status,N/A,Postrada
C0020053F.jpg,R M Schuster,R. M. Schuster,N/A,45811,"Aug 2, 1960",1960-08-02,N/A,Anastrophyllum minutus var grandis (Ldbg) Schust,Anastrophyllum minutus,R. M. Schuster,N/A,Tritomaria 5-dentata | Blepharostoma trichophyllum | Anthelia juratzkana | Odontoschisma macounii,Greenland,N/A,N/A,N/A,"Kangerdluarssuk, w side of Bowdoin Bay, Inglefield Bredning, 77°33′N,68°35' W","Kangerdluarssuk, w side of Bowdoin Bay, Inglefield Bredning","Moist exposed peaty soil between rocks, exposed ridge above village, where protected from wind",125-150 ft,"77°33′N,68°35' W",45811b | 45811a | 45811c-e,Typed,no type status,N/A,N/A
C0090341F.jpg,"leg T.FEUERER, H.HERTEL & H.KILIAS",T. Feuerer,H. Hertel | H. Kilias,282,12.X.1977,1977-10-12,N/A,Buellia schaereri DNOT,Buellia schaereri,N/A,N/A,Larix decidua,Italy,Südtirol,N/A,Rungun,"Purgametsch-Tal (an der Autostraße zwischen Nigerpaß und Tiers), nahe der Abzweigung des Sträßchens ins Tschamin-Tal bei Rungun",Purgametsch-Tal near the Abzweigung des Sträßchens ins Tschamin-Tal,Lichter Lärchen-Bestand auf Almgelände An der Stammbasis und an leicht geneigten Stämmen von Lärchen,1220 m,N/A,N/A,Typed,no type status,,
C0095075F.jpg,Henry A Imshaug,H. A. Imshaug,N/A,60155,3 October 1976,1976-10-03,N/A,Xanthoria fallax (Hepp) Arn,Xanthoria fallax,N/A,N/A,Acer,United States,Michigan,Chippewa County,N/A,"(DRUMMOND ISLAND): Along road at Drummond airport, Sec 25, T 42 N, R 5 E","Along road at Drummond airport, Section 25, Township 42 North, Range 5 East",N/A,N/A,46° 01' N and 83° 44' W,N/A,Typed,no type status,N/A,N/A
C0079851F_lg.jpg,Walter Kiener,W. Kiener,N/A,9148,"Sept 15,1989",1989-09-15,N/A,Distichum capillaceum (Sw.),Distichum capillaceum,N/A,N/A,N/A,United States,Colorado,Larimer,N/A,LONGS PEAK,LONGS PEAK,Wet ground North exposure,"11,800 ft",Lat 40° N,C0079851F,Typed,no type status,N/A,N/A
C0090105F.jpg,leg H.T Lumbsch,H. T. Lumbsch,N/A,s.n.,26.08.2001,2001-08-26,N/A,Arctoparmelia centrifuga,Arctoparmelia centrifuga,N/A,N/A,N/A,Norway,Sogn og Fjordane,Jotunheimen,N/A,"alpine Matten an der Straße 55 zwischen Turtegrö und Hervassbu, 1400 m alt Auf Silikatgestein",alpine Matten an der Straße 55 zwischen Turtegrö und Hervassbu [precise locality unknown],Auf Silikatgestein,1400 m alt,N/A,12159,Typed,no type status,N/A,
C1048926F.jpg,W.J Eyerdam,W. J. Eyerdam,N/A,s.n.,July 26/40,1940-07-26,N/A,Pellia endiviaefolia (Dicks) Drum,Pellia endiviaefolia,Lois Clark,N/A,N/A,United States,Alaska,N/A,Ketchikan,"Ketchikan, Revillagigedo island",Revillagigedo island,On damp sendy ground in a shady thicket,N/A,N/A,C1048926F,Handwritten,no type status,N/A,N/A
C0071775F_lg.jpg,Donald Richards and Francis Drouet,D. Richards,F. Drouet,1272,15 September 1941,1941-09-15,N/A,Ceratodon purpureus (Hedw),Ceratodon purpureus,H. Habeeb,1948,C conicus,United States,California,Siskiyou County,Dunsmuir,In the wooded canyon of the Sacramento river,In the wooded canyon of the Sacramento river,In the wooded canyon,"Altitude ca 2,200 feet",N/A,C0071775F,Handwritten,no type status,N/A,
V0057262F.jpg,Marcus E Jones A M,M. E. Jones,N/A,s.n.,"Teple, Nayarit, Feb, 16 1927",1927-02-16,N/A,Lepidium ruderale,Lepidium ruderale,C. L. Hitchc.,1945,Lepidium virginicum,Mexico,Nayarit,N/A,Tepic,"Teple, Nayarit",[precise locality unknown],N/A,N/A,N/A,701318|22840,Mix of Handwritten and Typed,isotype,N/A,N/A
C0377881F.jpg,Ta Ho Yen FAN CHING SHAN,T. H. Yen,F. C. Shan,344,"Sept 4, 1931",1931-09-04,N/A,Dryopteris sephorideg (Christ) Kunte squirolie Christ,Dryopteris sephorideg,N/A,N/A,Thelypteris esquirolli,China,Kweichow,N/A,N/A,PLANTS OF KWEICHOW PROVINCE,[precise locality unknown],Moist brushy slope,alt 980 m,N/A,779919,Typed,no type status,N/A,
