image name,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,accessionNumber,plantDescription
C2051895F.jpg,N/A,N/A,N/A,s.n.,s.d.,N/A,N/A,Crossidium squamigerum (Viv.) Jur.,Crossidium squamigerum,W. C. Steere,N/A,N/A,France,N/A,N/A,N/A,Rochers au bord de la mer Bonifacio Corse,Rochers au bord de la mer [precise locality unknown],N/A,N/A,N/A,973120,Mix of Handwritten and Typed,no type status,N/A,N/A
C2026385F.jpg,N/A,N/A,N/A,s.n.,s.d.,N/A,N/A,Pottia latifolia C. Müll.,Pottia latifolia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,Handwritten,no type status,N/A,N/A
C2036209F.jpg,R Ochyra,R. Ochyra,N/A,4279/80,11/II/1980,1980-02-11,N/A,Tortula fuscoviridis Card,Tortula fuscoviridis,R. Ochyra,N/A,N/A,Antarctica,South Shetland Islands,King George Island,N/A,"ANTARCTICA, SOUTH SHETLAND ISLANDS - KING GEORGE ISLAND: Admiralty Bay, Ecology Glacier, Sphinx Hill, 62°10'05""S, 58°28'45""W, c 5 m at NW foot of the mount, on soil over rock ledges, in dry situation","Admiralty Bay, Ecology Glacier, Sphinx Hill, 5 meters at northwest foot of the mount, on soil over rock ledges, in dry situation","on soil over rock ledges, in dry situation",c 5 m,"62°10'05""S, 58°28'45""W",1053922,Typed,no type status,N/A,N/A
C2078136F.jpg,Paul C. Standley,P. C. Standley,N/A,10896,"July 5, 1947",1947-07-05,N/A,Meteoridium diminutivum (Hpe.) E.G. Britt + sterile Culodon,Meteoridium diminutivum,F. B. Bartram,N/A,N/A,Nicaragua,Jinotega,N/A,N/A,"Dept. Jinotega: Vicinity of Finca San Roque, sierra east of Jinotega, chiefly in dense wet mixed forest, 1300-1500 m","Vicinity of Finca San Roque, sierra east of Jinotega",chiefly in dense wet mixed forest,1300-1500 m,N/A,N/A,Mix of Handwritten and Typed,no type status,C2078136F,On tree trunk
C2047133F.jpg,leg I Hagen,I. Hagen,N/A,s.n.,18/7 1903,1903-07-18,N/A,Cratoneurum filicinum (L.) Roth v. curvicaule (Jur.) Mönk.,Cratoneurum filicinum,N/A,N/A,N/A,Norway,Trøndelag,N/A,N/A,Sønder Trondhjems amt: Opdal,[precise locality unknown],N/A,altit. circ. 940 m,N/A,N/A,Handwritten,no type status,2041122,N/A
C2047118F.jpg,Ake Hovgard,A. Hovgard,N/A,s.n.,6/6 1937,1937-06-06,N/A,Cratoneuron filicinum (L) Loeske et v. elatum Schimp,Cratoneuron filicinum v. elatum,N/A,N/A,N/A,Sweden,N/A,N/A,N/A,Baskemölla,Baskemölla,N/A,N/A,N/A,209,Typed,no type status,N/A,N/A
C2037874F.jpg,J. Krupa,J. Krupa,N/A,s.n.,June 1876,1876-06-00,N/A,Cratoneuron filicinum (Hedw.) Spruce,Cratoneuron filicinum,N/A,N/A,N/A,Poland,N/A,N/A,N/A,"S POLAND, Kraków-Częstochowa Upland; Czarna 15 km west of Kraków; on wet calcareous rocks",Czarna 15 kilometers west of Kraków on wet calcareous rocks,on wet calcareous rocks,N/A,N/A,1071170,Typed,no type status,1039315,N/A
C1048926F.jpg,coll by W J Eyerdam,W. J. Eyerdam,N/A,s.n.,July 26/40,1940-07-26,N/A,Pellia endiviaefolia (Dicks) Dum,Pellia endiviaefolia,L. Clark,N/A,N/A,United States,Alaska,N/A,Ketchikan,"Ketchikan, Revillagigedo island",Revillagigedo island,On damp sandy ground in a shady thicket,N/A,N/A,No 7,Mix of Handwritten and Typed,no type status,C1048926F,N/A
C0079851F_lg.jpg,By Walter Kiener,W. Kiener,N/A,9148,"Sept 15,1939",1939-09-15,N/A,Distichum capillaceum (Sw) Bry Eur,Distichum capillaceum,N/A,N/A,N/A,United States of America,Colorado,Larimer,N/A,"MUSCI of COLORADO, USA Rocky Mountain National Park Lat 40° N LONGS PEAK",Longs Peak [precise locality unknown],Wet ground North exposure,"11,800 ft",Lat 40° N,N/A,Typed,no type status,N/A,N/A
C0071775F_lg.jpg,Donald Richards and Francis Drouet,D. Richards,F. Drouet,1272,15 September 1941,1941-09-15,N/A,Ceratodon purpureus (Hedw) (some plants approach C conicus) Brid,Ceratodon purpureus,Habeeb,1948,Ceratodon conicus,United States,California,Siskiyou,Dunsmuir,In the wooded canyon of the Sacramento river Dunsmuir,In the wooded canyon of the Sacramento river,N/A,Altitude ca 2200 feet,N/A,C0071775F,Mix of Handwritten and Typed,no type status,N/A,N/A
C0079440F_lg.jpg,N/A,N/A,N/A,s.n.,s.d.,N/A,N/A,"Dieranum heteromallum Var. Cambrica, Fisciana, Chester & Philad'a",Dieranum heteromallum,N/A,N/A,N/A,United States,Pennsylvania,Chester,Philadelphia,"Cambrica, Fisciana, Chester & Philad'a",[precise locality unknown],N/A,N/A,N/A,C0079440F,Handwritten,no type status,N/A,N/A
C0020053F.jpg,Collected and Determined by R. M. Schuster,R. M. Schuster,N/A,45811,"Aug. 2, 1960",1960-08-02,N/A,Anastrophyllum minutus var. grandis (Ldbg.) Schust.,Anastrophyllum minutus var. grandis,R. M. Schuster,N/A,Tritomaria 5-dentata | Blepharostoma trichophyllum | Anthelia juratzkana | Odontoschisma macounii,Greenland,Northwest Greenland,N/A,N/A,"NORTHWEST GREENLAND: Kangerdluarssuk, w. side of Bowdoin Bay, Inglefield Bredning, 77°33'N,68°35' W","Kangerdluarssuk, west side of Bowdoin Bay, Inglefield Bredning","Moist exposed peaty soil between rocks, exposed ridge above village, where protected from wind",125-150 ft,"77°33'N,68°35' W",N/A,Typed,no type status,N/A,N/A
C2046783F.jpg,leg L Braun,L. Braun,N/A,s.n.,28/8/17,1917-08-28,N/A,Fontinalis antipyretica,Fontinalis antipyretica,N/A,N/A,N/A,France,unsure and check,N/A,N/A,Ruisseau de Corse,Ruisseau de Corse [precise locality unknown],N/A,N/A,N/A,1639028,Handwritten,no type status,N/A,N/A
C0363985F.jpg,Carvalho 2092,Carvalho,N/A,2092,25-VII-1986,1986-07-25,N/A,Lycopodiella cernua (L.) Pic.-Serm.,Lycopodiella cernua,J. Fernández Casas,1991,N/A,Equatorial Guinea,Bioko,N/A,N/A,"BIOCO: Malabo - Basilé, km 13, cerca de Basilé, 32NMK7808, 390 m, márgenes de la carretera","13 km from Malabo to Basilé, near Basilé, margins of the road",margins of the road,390 m,32NMK7808,2201362,Typed,no type status,N/A,Postrada Forma pequeñas colonias dispersas
C0377881F.jpg,N/A,A. N. Steward,C. Y. Chiao | H. C. Cheo,524,"Sept. 4, 1931",1931-09-04,N/A,Dryopteris esquirolii Christ,Thelypteris esquirolii,unsure and check,N/A,N/A,China,Kweichow Province,N/A,N/A,"PLANTS OF KWEICHOW PROVINCE, CHINA",[precise locality unknown],"Moist brambly slope, alt. 980 m. Sort black",alt. 980 m,N/A,779919,Typed,no type status,2397380,Sort black
