image name,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,accessionNumber,plantDescription
https://fm-digital-assets.fieldmuseum.org/2674/351/C2078136F.jpg,Paul C. Standley,P. C. Standley,N/A,10896,"July 5, 1947",1947-07-05,N/A,Mittenothamnium diminutivum (Hpe.) E. G. Britt + sterile Eulodon,Mittenothamnium diminutivum,E. B. Bartram,N/A,Eulodon,Nicaragua,Jinotega,N/A,N/A,Vicinity of Finca San Roque sierra east of Jinotega chiefly in dense wet mixed forest 1300–1500 m,Vicinity of Finca San Roque sierra east of Jinotega,Chiefly in dense wet mixed forest,1300–1500 m,N/A,C2078136F,Typed,no type status,N/A,On tree trunk
https://fm-digital-assets.fieldmuseum.org/2669/142/C2047118F.jpg,Åke Hovgard,Å. Hovgard,N/A,s.n.,6/6 1937,1937-06-06,N/A,Cratoneuron filicinum (L.) Loeske v. elatum Schimp,Cratoneuron filicinum,Åke Hovgard,6.7.1937,N/A,Sweden,Skåne,Gladsax,N/A,Baskemölla,Baskemölla,N/A,N/A,N/A,C2047110F,Typed,no type status,N/A,N/A
https://fm-digital-assets.fieldmuseum.org/440/996/C1048926F.jpg,coll. by W. J. Eyerdam,W. J. Eyerdam,N/A,7,July 26/40,1940-07-26,N/A,Pellia endiviifolia (Dicks) Dum.,Pellia endiviifolia,L. Clark,N/A,N/A,United States,Alaska,N/A,Ketchikan,Revillagigedo island,Revillagigedo Island,On damp sandy ground in a shady thicket,N/A,N/A,N/A,Mix of Handwritten and Typed,no type status,C1048926F,N/A
https://bryophyteportal.org/imglib/storage/f/bryophytes/C00798/C0079851F_lg.jpg,By Walter Kiener,W. Kiener,N/A,9148,"Sept. 15, 1939",1939-09-15,N/A,Distichum capillaceum (Sw.) Bry. Eur.,Distichum capillaceum,N/A,N/A,N/A,United States,Colorado,Larimer,N/A,LONGS PEAK,Longs Peak,Wet ground North exposure,"11,800 ft.",Lat. 40° N.,N/A,Typed,no type status,C0079851F,N/A
https://bryophyteportal.org/imglib/storage/f/bryophytes/C00717/C0071775F_lg.jpg,Donald Richards and Francis Drouet,D. Richards,F. Drouet,1272,15 September 1941,1941-09-15,N/A,Ceratodon purpureus (Hedw.) Brid. (some plants approach C. conicus),Ceratodon purpureus,H. A. Imshaug,1948,N/A,United States,California,Siskiyou,Dunsmuir,"In the wooded canyon of the Sacramento river, Dunsmuir",In the wooded canyon of the Sacramento river,In the wooded canyon,"Altitude ca. 2,200 feet",N/A,C0071775F,Mix of Handwritten and Typed,no type status,N/A,N/A
https://bryophyteportal.org/imglib/storage/f/bryophytes/C00794/C0079440F_lg.jpg,Chester A. Driscoll,C. A. Driscoll,N/A,s.n.,N/A,0000-00-00,N/A,Pteranemum heteromallum,Pteranemum heteromallum,N/A,N/A,N/A,United States,Indiana,N/A,N/A,Cambra,Cambra,N/A,N/A,N/A,N/A,Handwritten,N/A,C0079440F,N/A
https://fm-digital-assets.fieldmuseum.org/444/536/C0020053F.jpg,R. M. Schuster,R. M. Schuster,N/A,45811,"Aug. 2, 1960",1960-08-02,N/A,Anastrophyllum minutus var. grandis (Ldbg.) Schust.,Anastrophyllum minutus,R. M. Schuster,N/A,Tritomaria 5-dentata | Blepharostoma trichophyllum breviorete | Anthelia juratzkana | Odontoschisma macounii,Greenland,N/A,N/A,N/A,"Kangerdlluarssuk, w. side of Bowdoin Bay, Inglefield Bredning","Kangerdlluarssuk, west side of Bowdoin Bay, Inglefield Bredning","Moist exposed peaty soil between rocks, exposed ridge above village, where protected from wind",125-150 ft.,"77°33'N, 68°35'W",45811b | 45811a | 45811c-e,Typed,no type status,N/A,N/A
https://fm-digital-assets.fieldmuseum.org/1847/445/C0363985F.jpg,J. Fernández Casas,J. Fernández Casas,N/A,2092,25-VII-1986,1986-07-25,N/A,Lycopodiella cernua (L.) Pic.-Serm.,Lycopodiella cernua,J. Fernández Casas,1991,N/A,Equatorial Guinea,Bioko,N/A,Malabo,"Malabo - Basilé, km 13, cerca de Basilé, 32NMK7808, 390 m, márgenes de la carretera","Malabo - Basile, 13 kilometers, near Basile",Postrada. Forma pequeñas colonias dispersas.,390 m,32NMK7808,N/A,Typed,no type status,2201362,N/A
https://fm-digital-assets.fieldmuseum.org/2116/004/C0090341F.jpg,"leg. T. Feuerer, H. Hertel & H. Kilias",T. Feuerer,H. Hertel | H. Kilias,282,12.X.1977,1977-10-12,N/A,Buellia schaereri DNOT.,Buellia schaereri,unsure and check,N/A,Larix decidua,Italy,Südtirol,N/A,N/A,"Dolomiten, Rosengarten-Gruppe Purgametsch-Tal (an der Autostraße zwischen Nigerpaß und Tiers), nahe der Abzweigung des Sträßchens ins Tschaimin-Tal bei Rungun","Dolomiten, Rosengarten-Gruppe Purgametsch-Tal near the junction of the path into Tschaimin-Tal at Rungun",Lichter Lärchen-Bestand auf Almgelände. An der Stammbasis und an leicht geneigten Stämmen von Lärchen in Menge,1220 m,N/A,N/A,Typed,no type status,N/A,N/A
https://fm-digital-assets.fieldmuseum.org/2117/162/C0095075F.jpg,Henry A. Imshaug,H. A. Imshaug,N/A,60155,3 October 1976,1976-10-03,N/A,Xanthoria fallax (Hepp) Arn.,Xanthoria fallax,N/A,N/A,Acer,United States,Michigan,Chippewa,N/A,Along road at Drummond airport Sec. 25 T. 42 N. R. 5 E.,Along road at Drummond airport,N/A,N/A,46° 01' N and 83° 44' W,N/A,Typed,no type status,N/A,N/A
